commodity,unit,latest_date,latest_bs_date,current_avg_price,baseline_median_7,baseline_mean_7,abs_change_vs_median,pct_change_vs_median,history_points,latest_history_confidence_band,latest_history_confidence_rank,latest_is_default_model_window,abs_pct_change
गाजर(तराई),केजी,2026-05-13 04:59:06.669502,"बैशाख ३०, २०८३",35.0,30.0,29.14,5.0,16.67,1538,current_live,4,True,16.67
मूला रातो,केजी,2026-05-27 05:41:56.960703,"जेठ १३, २०८३",35.0,30.0,41.43,5.0,16.67,2240,current_live,4,True,16.67
काउली स्थानिय,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",63.75,76.25,76.61,-12.5,-16.39,4463,current_live,4,True,16.39
अंगुर(हरियो),केजी,2026-05-26 05:13:48.159356,"जेठ १२, २०८३",260.0,310.0,288.57,-50.0,-16.13,2213,current_live,4,True,16.13
काक्रो(लोकल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",58.75,70.0,71.43,-11.25,-16.07,4392,current_live,4,True,16.07
भन्टा डल्लो,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",46.25,55.0,54.21,-8.75,-15.91,3662,current_live,4,True,15.91
कोइरालो,केजी,2026-05-10 04:54:39.142124,"बैशाख २७, २०८३",335.0,290.0,303.81,45.0,15.52,552,current_live,4,True,15.52
छ्यापी सुकेको,केजी,2026-05-30 05:00:32.811565,"जेठ १६, २०८३",150.0,130.0,133.57,20.0,15.38,3110,current_live,4,True,15.38
झिगूनी,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,65.0,61.07,-10.0,-15.38,1594,current_live,4,True,15.38
आलु सेतो,केजी,2026-06-07 05:52:42.295682,"जेठ २४, २०८३",24.67,29.0,30.0,-4.33,-14.93,3392,current_live,4,True,14.93
सलगम,केजी,2026-03-23 04:00:48.494612,"चैत ०९, २०८२",45.0,52.5,51.07,-7.5,-14.29,1503,current_live,4,True,14.29
हरियो धनिया,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",95.0,110.0,102.38,-15.0,-13.64,4450,current_live,4,True,13.64
काक्रो(हाइब्रीड),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",16.25,18.75,18.39,-2.5,-13.33,2465,current_live,4,True,13.33
सखरखण्ड,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",65.0,75.0,73.57,-10.0,-13.33,1994,current_live,4,True,13.33
च्याउ(डल्ले),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",326.67,376.67,382.57,-50.0,-13.27,2497,current_live,4,True,13.27
गोलभेडा सानो(टनेल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",33.0,38.0,37.91,-5.0,-13.16,2115,current_live,4,True,13.16
तरबुजा(हरियो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",45.0,40.0,41.43,5.0,12.5,4285,current_live,4,True,12.5
किवि,केजी,2026-05-03 04:50:17.536267,"बैशाख २०, २०८३",475.0,425.0,432.14,50.0,11.76,1754,current_live,4,True,11.76
